"","country","gdppc99","lngdp99","ISO_qual","ISO_envt","wtr_pltn","lnpoison","lnintest","UnofEcon","lab_inf","roa","markcom","cor_aart","cor_icrg","xconst45_98","P_execon","gov_eff","EffectLg","Competit","autoc45_98","pright_av","legor_fr","legor_so","legor_ge","legor_sc","legor_en","civil_fh","prop97","prop_hf9","response","sanita_who","expense_heal","cost_priv","steps","procedures","time_99","cost_99","cost_pct"
"1","Argentina",7600,8.93590354919434,0.0226197000592947,0.00103709998074919,0.210500001907349,2.58652997016907,3.89246702194214,21.7999992370605,NA,0.198638498783112,4.40000009536743,0.77968168258667,0.800000011920929,3.14000010490417,3.59999990463257,0.26204439997673,0.976743996143341,1.02325999736786,4.61999988555908,0.634674906730652,1,0,0,0,0,0.666666686534882,0.75,4,5.93357801437378,89,NA,350.179992675781,13,14,48,774.390014648438,0.100000001490116
"2","Armenia",490,6.19440603256226,0.0254699997603893,NA,0.230000004172325,2.68648600578308,3.86639809608459,40.2999992370605,26.7000007629395,0.123599998652935,NA,0.951165080070496,NA,2.92593002319336,3.28571391105652,-0.654661774635315,NA,NA,6.37036991119385,0.460612297058105,0,1,0,0,0,0.5,0.5,3,5.18056392669678,NA,NA,24.6599998474121,11,11,55,62.0900001525879,0.129999995231628
"3","Australia",20050,9.90598487854004,0.764615118503571,0.0189939998090267,0.19149999320507,2.59693193435669,0.475562512874603,14.039999961853,6.40000009536743,0.0902167037129402,5.19999980926514,0.171253800392151,0.200000002980232,7,7,1.45869398117065,3,2,0,1,0,0,0,0,1,1,1,5,6.86198282241821,NA,9,0,2,2,2,450.359985351562,0.0199999995529652
"4","Austria",25970,10.1646995544434,0.40199801325798,0.0163525007665157,0.145199999213219,2.35432410240173,-0.901689887046814,11.0100002288818,16,0.164589405059814,5.40000009536743,0.217957705259323,0.260000109672546,7,7,1.21872496604919,3,2,0,1,0,0,1,0,0,1,1,5,6.85747385025024,NA,5.75,2000,8,9,37,7085.35009765625,0.270000010728836
"5","Belgium",24510,10.106840133667,0.311678111553192,0.00716389995068312,0.161100000143051,2.88838291168213,1.54233694076538,19.8099994659424,NA,0.0880502983927727,5.30000019073486,0.472734808921814,0.540000021457672,7,7,0.883261680603027,3,2,0,1,1,0,0,0,0,0.833333313465118,1,5,6.81972980499268,NA,8.10000038146973,977.950012207031,7,8,33,2447.21997070312,0.100000001490116
"6","Bolivia",1010,6.91770601272583,0.000257500010775402,0,0.230599999427795,NA,5.36039781570435,65.5999984741211,51.2999992370605,NA,3.70000004768372,0.832663476467133,0.600000023841858,3.51999998092651,3.57142901420593,-0.222923502326012,1,0.953487992286682,3.48000001907349,0.622291028499603,1,0,0,0,0,0.666666686534882,0.5,3,4.57999992370605,34.5999984741211,2.20000004768372,2035,20,20,88,2682.3701171875,2.66000008583069
"7","Brazil",4420,8.39389514923096,0.0226341001689434,0.000536600011400878,0.194100007414818,3.66590690612793,5.10925388336182,33.4000015258789,49.2000007629395,0.197374001145363,4.80000019073486,0.671932280063629,0.600000023841858,3.69231009483337,3.11764693260193,-0.219935402274132,1.60465002059937,1.81394994258881,3,0.640866875648499,1,0,0,0,0,0.5,0.5,3,4.80999994277954,73,3.90000009536743,537.440002441406,11,15,63,890.359985351562,0.200000002980232
"8","Bulgaria",1380,7.22983884811401,0.0115494998171926,0,0.143299996852875,3.47225689888,1.2939749956131,29.4699993133545,63,0.146999999880791,4,0.871354520320892,0.400000005960464,3.67925000190735,3.57142901420593,-0.814130902290344,1,1.02325999736786,5.79244995117188,0.263157904148102,0,1,0,0,0,0.666666686534882,0.5,3,4.42999982833862,NA,6.30000019073486,66.8399963378906,10,10,27,198.789993286133,0.140000000596046
"9","Burkina Faso",240,5.48063898086548,0,0,NA,NA,NA,32,65,NA,NA,0.809881091117859,0.620000004768372,1.92104995250702,1.93939399719238,-0.0592009015381336,0,0,5.60525989532471,0.2569659948349,1,0,0,0,0,0.5,0.5,3,4.17999982833862,NA,NA,543.710021972656,14,14,33,765.179992675781,3.19000005722046
"10","Canada",19320,9.86889553070068,0.250440806150436,0.00343389995396137,0.173299998044968,2.93069410324097,-0.883903205394745,12.4499998092651,4.40000009536743,0.156858205795288,5.40000009536743,0.0238559003919363,0,7,7,1.71734797954559,3,2,0,1,0,0,0,0,1,1,1,5,6.9799017906189,85,NA,0,2,2,2,279.899993896484,0.00999999977648258
